year;org_name;org_code;unit_main_code;unit_sub_code;unit_name;max 100 %;Kasvatusalat (1);Taiteet ja kulttuurialat (2);Humanistiset alat (3);Yhteiskunnalliset alat (4);Kauppa, hallinto ja oikeustieteet (5);Luonnontieteet (6);Tietojenkäsittely ja tietoliikenne (7);Tekniikan alat (8);Maa- ja metsätalousalat (9);Lääketieteet (10);Terveys- ja hyvinvointialat (11);Palvelualat (12)
2016;Aalto yliopisto;10076;;A800;School services, ARTS ;100%;0%;85%;0%;0%;0%;0%;0%;15%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;A801;Department of Film, Television and Scenography;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;A802;Department of Media;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;A803;Department of Design;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;A805;Department of Art;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;A850;Aalto Future Media Center;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;A899;School Common ARTS;100%;0%;85%;0%;0%;0%;0%;0%;15%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E700;School Services, BIZ;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E701;Department of Accounting;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E702;Department of Marketing;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E703;Department of Economics;100%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E704;Department of Information and Service Economy;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E706;Department of Management Studies;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E707;Department of Finance;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E710;Center for Markets in Transition (CEMAT);100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E720;Center for Knowledge and Innovation Research (CKIR);100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;E790;School Common, BIZ;100%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;T100;School services, CHEM;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;T101;Department of Biotechnology and Chemical Technology;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%
2016;Aalto yliopisto;10076;;T102;Department of Chemistry;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%
